番号,年代,時代,教,入試,できごと,暗記法,暗記法
53,1334,鎌倉,A,5,建武の新政（後醍醐天皇）,いざ見よ(1334)後醍醐、建武の新政,いざ見よ後醍醐、建武の新政
54,1336,鎌倉,C,,後醍醐天皇吉野に逃げる→南北朝時代,いざさろう(1336)と吉野に逃げる,いざさろうと吉野に逃げる
55,1338,鎌倉,A,,室町幕府の成立（足利尊氏）,将軍尊氏、いい耳や(1338),将軍たかうじ、いい耳や
56,1368,鎌倉,A,,明の中国統一（朱元璋）,いさむや(1368)明の漢民族,いさむや明の漢民族
57,1392,鎌倉,A,1,高麗の滅亡、李氏朝鮮の成立（李成桂）,いざ国(1392)建てん朝鮮を,いざ国建てん朝鮮を
58,1392,鎌倉,A,3,南北朝の合一（足利義満）,いざ国(1392)まとめる南北朝,いざ国まとめる南北朝
59,1404,鎌倉,A,7,勘合貿易の開始（足利義満）,ひと寄れよ(1404)、勘合貿易始まるぞ,ひと寄れよ、勘合貿易始まるぞ
60,1428,鎌倉,B,1,正長の土一揆,ひとよにエイ！と(1428)壊された土倉・酒屋,ひとよにえい！と破壊されたどそう・さかや
56,1429,鎌倉,B,1,尚氏が沖縄を統一し、琉球王国が成立,非常に急(1429)に琉球建国,非常に急に琉球建国
57,1467,鎌倉,A,5,応仁の乱（足利義政の後つぎ争い）（～1477）,人の世むな(1467)し、応仁の乱,人の世むなし、応仁の乱
58,1485,鎌倉,A,,山城の国一揆（～1493）,意思はご(1485)もっとも。山城国一揆,意思はごもっとも、やましろのくに一揆
59,1488,鎌倉,A,1,加賀の一向一揆（～1580）,意志はは(1488)っきり一向一揆,意志ははっきり一向一揆
60,1492,鎌倉,A,3,コロンブスの西インド諸島発見,意欲に(1492)燃えるコロンブス,意欲に燃えるコロンブス
61,1498,鎌倉,A,2,バスコ＝ダ＝ガマのインド航路発見,意欲は(1498)十分、バスコ・ダ・ガマ,意欲は十分、バスコ・ダ・ガマ
62,1517,鎌倉,A,8,ルターの宗教改革,以後非難(1517)されるローマ教皇,以後非難されるローマ教皇
63,1519,鎌倉,A,4,マゼラン一行が世界一周を始める（～1522）,一行行く(1519)よ、世界一周,一行行くよ、世界一周
64,1543,鎌倉,A,5,鉄砲の伝来（ポルトガル人）⇒南蛮貿易,以後予算(1543)に入れる鉄砲を,以後、予算に入れる鉄砲を
65,1549,鎌倉,A,4,キリスト教の伝来（ザビエル）,以後よく(1549)広まるキリスト教,以後、よく広まるキリスト教
66,1560,鎌倉,E,1,桶狭間の戦い,以後、労を(1560)おしまず信長は,以後、ろうをおしまずのぶながは
67,1573,鎌倉,A,,室町幕府の滅亡（織田信長）,以後、なさ(1573)けない足利氏,以後なさけない、あしかがし
68,1575,安土桃山,E,2,長篠の戦い（織田信長）,敗れた武田氏以後泣こう(1575),やぶれたたけだし以後泣こう
69,1582,安土桃山,A,,本能寺の変,いちごパンツ(1582)だ信長は,いちごパンツだのぶながは
70,1582,安土桃山,B,,天正遣欧使節の派遣,一行パニ(1582)ック遣欧使節,一行パニックけんおうしせつ
71,1582,安土桃山,A,,太閤検地（豊臣秀吉）（～1598）,以後は増(1582)えた、石高が,以後は増えた、こくだかが
72,1588,安土桃山,A,3,刀狩（豊臣秀吉）,以後刀は(1588)ダメよ刀狩,以後刀はダメよ、かたながり
73,1590,安土桃山,A,3,豊臣秀吉の全国統一,戦国まるくお(1590)さめて天下統一,せんごく、まるくおさめて天下統一
74,1592,安土桃山,,,朝鮮出兵　文禄の役,朝鮮を異国に(1592)する秀吉さん,朝鮮を異国にするひでよしさん
75,1597,安土桃山,A,,朝鮮出兵　慶長の役,以後、苦難(1597)の朝鮮侵略,以後、くなんの朝鮮侵略
76,1600,安土桃山,A,2,関ヶ原の戦い,ヒーローおお(1600)い関ヶ原,ヒーローおおい、せきがはら
77,1603,江戸,A,,江戸幕府の成立（徳川家康）,人群れ見(1603)上げる、江戸の城,人群れ見上げる、江戸のしろ
78,1615,江戸,B,3,豊臣氏の滅亡,一路行こ(1615)う！大阪へ,一路行こう！大阪へ
79,1615,江戸,A,3,武家諸法度・禁中並公家諸法度（徳川秀忠）,異論、以後(1615)なし武家諸法度,異論、以後なしぶけしょはっと
80,1635,江戸,A,,参勤交代の制度化（徳川家光）,異論、みご(1635)とに抑え、参勤交代,異論、みごとにおさえさんきんこうたい
81,1637,江戸,A,5,島原・天草一揆（天草四郎時貞）（～1638）,疲労で皆(1637)死ぬ島原の乱,疲労で皆死ぬ島原の乱
82,1639,江戸,C,2,ポルトガル船の来航禁止,一路、鎖国(1637)へいく日本,いちろ、さこくへいくにほん
83,1641,江戸,B,2,オランダ商館を出島に移す、鎖国の完成,いろよい(1641)返事で、商館移転,いろよい返事で、商館移転
84,1642,江戸,A,,ピューリタン革命（クロムウェル）（～1649）,ヒーロー世に(1642)でる、ピューリタン,ヒーロー世にでる、ピューリタン
85,1644,江戸,B,,明の滅亡、清の中国支配,明の人無視し(1644)て清おこる,みんのひとむしして、しんおこる
86,1669,江戸,B,,シャクシャインの戦い,一路69(1669)人で戦うシャクシャイン,いちろ、69人で戦うシャクシャイン
87,1685,江戸,D,3,生類憐みの令（徳川綱吉）,疲労はこ(1685)んなに、憐みの令,ひろうはこんなに、あわれみのれい
88,1688,江戸,A,5,名誉革命,広場は(1688)広がる名誉革命,広場は広がる名誉革命
89,1689,江戸,B,,権利の章典⇒議会政治の確立,異論はく(1689)権利章典,異論はく権利章典
90,1709,江戸,C,,正徳の治（新井白石）,非難まるく(1709)おさめる白石さん,ひなんまるくおさめる、はくせきさん
91,1716,江戸,A,5,享保の改革（徳川吉宗）（～1745）,非難いろ(1716)いろ享保の改革,非難いろいろきょうほうの改革
92,1742,江戸,A,1,公事方御定書が定められる,いーな世に(1742)出る御定書,いーな世に出る御定書
93,1772,江戸,A,4,田沼意次が老中となる,いーな何(1772)もらったの？わいろ,いーな何もらったの？わいろ
94,1774,江戸,C,,杉田玄白・前野良沢「解体新書」,解体新書に非難なし(1774),解体新書にひなんなし
95,1775,江戸,A,2,アメリカ独立戦争（ワシントン）（～1783）,いななこう(1775)う、馬も喜ぶ独立戦争,いななこうう、馬も喜ぶ独立戦争
96,1776,江戸,A,6,アメリカ独立宣言,いーな、なろ(1776)うぜ、独立国,いーな、なろうぜ、独立国
97,1787,江戸,A,4,寛政の改革（松平定信）（～1793）,非難やな(1787)顔できく定信さん,非難やなかおできく、さだのぶさん
98,1789,江戸,A,10,フランス革命、フランス人権宣言,いーな、パンク(1789)れ、フランス革命,いーな、パンクれ、フランス革命
99,1792,江戸,C,2,ラクスマンが根室に来航,一難、国(1792)を守る！と通商拒否,いちなん、くにをまもると、つうしょうきょひ
100,1804,江戸,A,3,ナポレオンが皇帝となる,いばれよ(1804)皇帝ナポレオン,いばれよ皇帝ナポレオン
101,1825,江戸,A,3,異国船打払令,いやに強引(1825)、打ち払い,いやにごういん、うちはらい
102,1837,江戸,A,4,大塩平八郎の乱（大阪）,人はみな(1837)平八郎を応援す,人はみな、へいはちろうを応援す
103,1840,江戸,A,5,アヘン戦争,アヘンの害を、人は知れ(1840),アヘンのがいを、人は知れ
104,1841,江戸,A,5,天保の改革（水野忠邦）（～1843）,人はよい(1841)、水野さん,人はよい、水野さん
100,1853,,A,5,ペリーが浦賀に来航,いやでござんす(1853)ペリーさん,いやでござんすペリーさん
101,1854,,A,5,日米和親条約、下田・函館の開港,人は来よう(1854)とする、函館へ,人は来ようとする、函館へ
102,1857,,A,2,インド大反乱（～1859）,人はこんな(1857)大反乱見たことない,人はこんな大反乱見たことない
103,1858,,A,3,日米修好通商条約（井伊直弼）,一番こわ(1858)い不平等条約,一番こわい不平等条約
104,1858,,A,3,安政の大獄,いやだ、こわ(1858)いよ、直弼さん,いやだ、こわいよ、直弼さん
105,1860,,B,5,桜田門外の変,人は群れ(1860)て井伊襲う,人は群れて井伊襲う
106,1861,,A,4,南北戦争（～1865）,銃は向い(1861)てる南北に,銃は向いてる南北に
107,1863,,D,2,薩英戦争←尊王攘夷運動,一夜無惨(1863)な鹿児島の町,一夜無惨な鹿児島の町
108,1866,,A,3,薩長同盟（坂本竜馬）,いや無論(1866)倒幕だ,いや無論倒幕だ
109,1867,,A,6,大政奉還,一番むな(1867)しい大政奉還,一番むなしい大政奉還
110,1867,,A,2,王政復古の大号令,いばろうな(1867)王政復古,いばろうな王政復古
111,1868,,A,2,戊辰戦争（～1869）鳥羽・伏見の戦い,いや牢屋(1868)に入れるぞ慶喜を,いや牢屋に入れるぞ慶喜を
